IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.9.10.62,010.009.010.062,SCSPA\\HQ1-AV001,HQ1-AV001.scspa.local,54bf648c75bd,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.63,010.009.010.063,SCSPA\\HQ3-JYA,HQ3-JYA.scspa.local,14b31f14c678,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.64,010.009.010.064,SCSPA\\HQ2-JHO,HQ2-JHO.scspa.local,54bf64a16412,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.68,010.009.010.068,SCSPA\\HQ1-PP3,HQ1-PP3.scspa.local,6c2b59d79da6,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.69,010.009.010.069,SCSPA\\L-HQ2-DBO,L-HQ2-DBO.scspa.local,c8f750dd5abb,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.73,010.009.010.073,SCSPA\\HQ2-AV001,HQ2-AV001.scspa.local,54bf648c729a,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.74,010.009.010.074,SCSPA\\HQ1-112,HQ1-112.scspa.local,b88584a7fd66,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.76,010.009.010.076,SCSPA\\HQ4-419,HQ4-419.scspa.local,b88584a71071,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.77,010.009.010.077,SCSPA\\HQ3-BBA,HQ3-BBA.scspa.local,1866da1061a1,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.78,010.009.010.078,SCSPA\\HQ1-CAFE,HQ1-CAFE.scspa.local,54bf648c708c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
