IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.1.3.211,010.001.003.211,SCSPA\\SPAYMSAGS,SPAYMSAGS.scspa.local,005056907f13,"[Information Technology, Computer, Server]","[Windows, Windows Server 2012]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows Server 2012 64-bit R2 Standard,Windows Server 2012 64-bit R2 Standard
10.1.3.212,010.001.003.212,SCSPA\\SPAYMSWS,SPAYMSWS.scspa.local,005056900d58,"[Information Technology, Computer, Server]","[Windows, Windows Server 2012]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows Server 2012 64-bit R2 Standard,Windows Server 2012 64-bit R2 Standard
10.1.3.213,010.001.003.213,SCSPA\\SPADIRSYNC01,SPADIRSYNC01.scspa.local,5056804320,"[Information Technology, Computer, Server]","[Windows, Windows Server 2012]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows Server 2012 64-bit R2 Standard,Windows Server 2012 64-bit R2 Standard
10.1.3.219,010.001.003.219,nas120.scspa.local,nas120.scspa.local,,"[Information Technology, Computer]",[Linux],[Unknown],,Unknown Vendor,Unknown Vendor,Linux Desktop/Server,Linux 2.6.9 - 2.6.30,
10.1.3.220,010.001.003.220,SCSPA\\SPAVARSOLRZK,SPAVARSOLRZK.scspa.local,0050568112b8,"[Information Technology, Computer, Server]","[Windows, Windows Server 2016, Windows Server 2016 Foundation]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows Server 2016 64-bit Standard,Windows Server 2016 64-bit Standard
10.1.3.224,010.001.003.224,vsdr01.scspa.local,vsdr01.scspa.local,e4115baf294c,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.225,010.001.003.225,vsdr02.scspa.local,vsdr02.scspa.local,e4115baf2cda,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.226,010.001.003.226,10.1.3.226,,e4115bb49ae6,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.227,010.001.003.227,vsdr04.scspa.local,vsdr04.scspa.local,e4115b0e3dde,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.228,010.001.003.228,vsdrsql.scspa.local,vsdrsql.scspa.local,e4115baf2bf4,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.229,010.001.003.229,vsdrora.scspa.local,vsdrora.scspa.local,1458d0592840,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard,HEWLETT PACKARD,Linux Desktop/Server,22/tcp OpenSSH 7.3 protocol 2.0;80/tcp VMware ESXi Server httpd  ,
10.1.3.235,010.001.003.235,SCSPA\\SPAACCESSWWT,SPAACCESSWWT.scspa.local,8cdf9d53edd4,"[Information Technology, Computer, Server]","[Windows, Windows Server 2012]",[NEC],,nec corporation,NEC CORPORATION,Windows Machine,Windows Server 2012 64-bit R2 Standard,Windows Server 2012 64-bit R2 Standard
10.1.3.240,010.001.003.240,10.1.3.240,,,"[Information Technology, Computer]",[Windows],[Unknown],,Unknown Vendor,Unknown Vendor,Windows Machine,Microsoft Windows Server 2003 SP1 or R2 or Microsoft Windows Server 2003 SP2 or Microsoft Windows XP SP3 or Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2 or Microsoft Windows Server 2003 R2 SP2 or Microsoft Windows Server 2003 or Microsoft Windows Server 2003 SP1 or Windows Server 2003 R2 SP2 or Microsoft Windows Server 2003 SP1 or SP2 or Microsoft Windows 2000 or Windows Server 2003 SP1,
10.1.3.241,010.001.003.241,10.1.3.241,,,"[Information Technology, Computer]",[Windows],[Unknown],,Unknown Vendor,Unknown Vendor,Windows Machine,Microsoft Windows Server 2003 SP1 or R2 or Microsoft Windows Server 2003 SP2 or Microsoft Windows XP SP3 or Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2 or Microsoft Windows Server 2003 R2 SP2 or Microsoft Windows Server 2003 or Microsoft Windows Server 2003 SP1 or Windows Server 2003 R2 SP2 or Microsoft Windows Server 2003 SP1 or SP2 or Microsoft Windows Server 2003 R2 SP1,
10.1.3.243,010.001.003.243,10.1.3.243,,005056810f2d,"[Information Technology, Computer]","[Linux, Ubuntu]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Linux Desktop/Server,80/tcp nginx  ;22/tcp OpenSSH 7.6p1 Ubuntu 4ubuntu0.3 Ubuntu Linux; protocol 2.0,
10.1.3.244,010.001.003.244,10.1.3.244,,0050568169a1,"[Information Technology, Computer]","[Linux, Ubuntu]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Linux Desktop/Server,80/tcp nginx  ;22/tcp OpenSSH 7.6p1 Ubuntu 4ubuntu0.3 Ubuntu Linux; protocol 2.0,
10.1.3.245,010.001.003.245,10.1.3.245,,08001b0009ad,"[Information Technology, Computer]","[Linux, SuSE]",[Dell],,dell emc,DELL EMC,Linux Desktop/Server,Linux 2.6.32,
10.1.3.246,010.001.003.246,SCSPA\\VNXE3300_SHARES,vnxe3300_shares.scspa.local,08001b93d41f,"[Information Technology, Storage]",[Unknown],[Dell],,dell emc,DELL EMC,Storage,EMC Celerra NS350 NAS device or EMC Celerra or Clarion NAS device or EMC Celerra NAS device,
10.1.3.247,010.001.003.247,10.1.3.247,,001e67e296d8,"[Information Technology, Computer]",[Linux],[Intel],,intel corporate,INTEL CORPORATE,Linux Desktop/Server,Linux 2.6.32 - 3.10 or Linux 2.6.32 or Linux 3.2 or HIKVISION DS-7600 Linux Embedded NVR (Linux 2.6.10) or Linux 3.1 or AXIS 210A or 211 Network Camera (Linux 2.6.17) or Kemp LoadMaster LM-2400 Firmware 7.1 or Crestron XPanel control system or Linux 2.6.26 or OpenWrt (Linux 3.3),
10.1.3.248,010.001.003.248,10.1.3.248,,001e67e277f2,"[Information Technology, Computer]",[Linux],[Intel],,intel corporate,INTEL CORPORATE,Linux Desktop/Server,"Linux 2.6.32 or Linux 2.6.32 - 3.10 or Linux 3.2 or HIKVISION DS-7600 Linux Embedded NVR (Linux 2.6.10) or Linux 3.1 or Kemp LoadMaster LM-2400 Firmware 7.1 or AXIS 210A or 211 Network Camera (Linux 2.6.17) or Rebranded surveillance DVR (Hikvision, Q-SEE, EYEsurv, A1Webcams, Foscam) or OpenWrt (Linux 3.3) or Crestron XPanel control system",
10.1.3.249,010.001.003.249,10.1.3.249,,001e678ea7be,"[Information Technology, Computer]",[Linux],[Intel],,intel corporate,INTEL CORPORATE,Linux Desktop/Server,"Linux 2.6.32 or Linux 2.6.32 - 3.10 or HIKVISION DS-7600 Linux Embedded NVR (Linux 2.6.10) or Linux 3.2 or Linux 3.1 or Kemp LoadMaster LM-2400 Firmware 7.1 or AXIS 210A or 211 Network Camera (Linux 2.6.17) or Rebranded surveillance DVR (Hikvision, Q-SEE, EYEsurv, A1Webcams, Foscam) or ProVision-ISR security DVR or OpenWrt (Linux 3.3)",
10.1.3.252,010.001.003.252,10.1.3.252,,001e67e231b9,"[Information Technology, Computer]",[Linux],[Intel],,intel corporate,INTEL CORPORATE,Linux Desktop/Server,"Linux 2.6.32 or Linux 2.6.32 - 3.10 or HIKVISION DS-7600 Linux Embedded NVR (Linux 2.6.10) or Linux 3.2 or Linux 3.1 or Kemp LoadMaster LM-2400 Firmware 7.1 or AXIS 210A or 211 Network Camera (Linux 2.6.17) or Rebranded surveillance DVR (Hikvision, Q-SEE, EYEsurv, A1Webcams, Foscam) or ProVision-ISR security DVR or OpenWrt (Linux 3.3)",
10.1.3.254,010.001.003.254,spaxms01.scspa.local,spaxms01.scspa.local,0050568034af,"[Information Technology, Computer]","[Linux, CentOS]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Linux Desktop/Server,Possibly Linux 2.6.32 - 3.10 or Linux 2.6.32 - 3.13 or Linux 3.10 or Linux 3.4 - 3.10,
10.1.4.6,010.001.004.006,spaws1iLO.scspa.local,spaws1iLO.scspa.local,e4115bdd9864,"[Information Technology, Accessory, Out Of Band Controller]",[Unknown],"[HP, HP Integrated Lights Out]",,hewlett packard,HEWLETT PACKARD,Network Device,22/tcp AllegroSoft RomSShell sshd 4.62 protocol 2.0,
10.1.4.15,010.001.004.015,10.1.4.15,,441ea1083c3e,"[Information Technology, Accessory, Out Of Band Controller]",[Unknown],"[HP, HP Integrated Lights Out]",,hewlett packard,HEWLETT PACKARD,Network Device,22/tcp AllegroSoft RomSShell sshd 4.62 protocol 2.0,
10.1.4.18,010.001.004.018,10.1.4.18,,8cdf9d53edda,"[Information Technology, Computer]",[Linux],[NEC],,nec corporation,NEC CORPORATION,Linux Desktop/Server,80/tcp GoAhead WebServer  ;22/tcp OpenSSH 5.1p1 Debian 5 protocol 2.0,
10.1.4.19,010.001.004.019,10.1.4.19,,8cdf9d53eddb,"[Information Technology, Computer]",[Linux],[NEC],,nec corporation,NEC CORPORATION,Linux Desktop/Server,80/tcp GoAhead WebServer  ;22/tcp OpenSSH 5.1p1 Debian 5 protocol 2.0,
10.1.4.29,010.001.004.029,sim-devuat01ilo.scspa.local,sim-devuat01ilo.scspa.local,d06726cb47cc,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.30,010.001.004.030,sim-devuat02ilo.scspa.local,sim-devuat02ilo.scspa.local,d06726cb487a,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.31,010.001.004.031,sim-devuat03ilo.scspa.local,sim-devuat03ilo.scspa.local,d06726d50378,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.36,010.001.004.036,sym-devuat04ilo.scspa.local,sym-devuat04ilo.scspa.local,54802855f416,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.48,010.001.004.048,10.1.4.48,,9c8e9912f9f2,"[Information Technology, Accessory, Out Of Band Controller]",[Unknown],"[HP, HP Integrated Lights Out]",,hewlett packard,HEWLETT PACKARD,Network Device,22/tcp AllegroSoft RomSShell sshd 4.62 protocol 2.0,
10.1.4.51,010.001.004.051,10.1.4.51,,98f2b321adaa,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
