IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.5.50.227,010.005.050.227,10.5.50.227,0,001a070e77b7,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,0,0,0,0,0
10.5.50.228,010.005.050.228,10.5.50.228,0,001a070e7787,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.229,010.005.050.229,10.5.50.229,0,accc8e59d3bb,"[Operational Technology, Facilities, Physical Security, Surveillance, IP Camera]",[Linux],"[Axis, Axis Network Camera]",0,axis communications ab,AXIS COMMUNICATIONS AB,Linux Desktop/Server,Linux 3.2 - 4.0,0
10.5.50.230,010.005.050.230,10.5.50.230,0,183919001d80,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Elk ELK-M1EXP Ethernet-to-serial bridge or TechniSat Digicorder HD S2 satellite receiver or Brother MFC-7820N printer or Brother HL-2070N printer or Brother HL-5070N printer or Ricoh Aficio SP C210SF printer or Sony Bravia V5500-series TV or Tripp Lite SMART1500SLT UPS, or PDUMV30HVNET or PDUMH15AT power distribution unit;23/tcp Pocket CMD telnetd  ",0
10.5.50.235,010.005.050.235,WORKGROUP\\APSKSKSOIG12WWT,wwtib12.scspa.local,000bab7eecfb,"[Information Technology, Computer]",[Windows],[Advantech],0,"advantech technology (china) co., ltd.","ADVANTECH TECHNOLOGY (CHINA) CO., LTD.",Windows Machine,135/tcp Microsoft Windows RPC  ;5900/tcp VNC  protocol 3.8,0
10.5.50.236,010.005.050.236,wwtib12_switch.scspa.local,wwtib12_switch.scspa.local,00c0f21f55ba,"[Information Technology, Networking]",[Unknown],[Transition Networks],0,transition networks,TRANSITION NETWORKS,0,0,0
10.5.50.237,010.005.050.237,wwtib12-printer.scspa.local,wwtib12-printer.scspa.local,000ee20ba40a,"[Information Technology, Accessory, Printer]",[Unknown],[Unknown],0,custom engineering,CUSTOM ENGINEERING,0,Possibly Palmmicro AR1688 VoIP module or BinTec Brick-XM router or Funkwerk bintec R3000 router or BinTec BinGO! ISDN router or BinTec R3400 WAP or BinTec X4000 access router or Funkwerk Artem WI3040 WAP or Asus WL-500gP wireless broadband router or AXIS 5550 print server or Microsoft Windows 2000 SP4,0
10.5.50.238,010.005.050.238,10.5.50.238,0,00d0c9f4b2da,"[Information Technology, Networking]",[Unknown],[Advantech],0,"advantech co., ltd.","ADVANTECH CO., LTD.",Network Device,lwIP 1.4.0 lightweight TCP/IP stack or Cognex DataMan 200 ID reader (lwIP TCP/IP stack) or Philips Hue Bridge (lwIP stack) or Grandstream GXP1105 VoIP phone or NodeMCU firmware (lwIP stack) or Philips Hue Bridge (lwIP stack v1.4.0) or British Gas GS-Z3 data logger or Rigol DSG3060 signal generator or Revo Blik Wi-Fi Internet radio or Siemens LOGO! 0BA7 PLC,0
10.5.50.239,010.005.050.239,10.5.50.239,0,183919001e2c,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or TechniSat Digicorder HD S2 satellite receiver or Brother MFC-7820N printer or Brother HL-5070N printer or Ricoh Aficio SP C210SF printer or Elk ELK-M1EXP Ethernet-to-serial bridge or Sony Bravia V5500-series TV or Tripp Lite SMART1500SLT UPS, or PDUMV30HVNET or PDUMH15AT power distribution unit or Geist RSMINI environment sensor;23/tcp Pocket CMD telnetd  ",0
10.5.50.240,010.005.050.240,10.5.50.240,0,001a07032ede,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
