Name,Device Type,IP
Phocus-203,Thick Ap,10.25.32.203
Phocus-204,Thick Ap,10.25.32.204
Phocus-206,Thick Ap,10.25.32.206
Phocus-207,Thick Ap,10.25.32.207
Phocus-208,Thick Ap,10.25.32.208
Phocus-210,Thick Ap,10.25.32.210
Phocus-220,Thick Ap,10.25.32.220
Phocus-221,Thick Ap,10.25.32.221
Phocus-222,Thick Ap,10.25.32.222
Phocus-226,Thick Ap,10.25.32.226
Phocus-227,Thick Ap,10.25.32.227
Phocus-228,Thick Ap,10.25.32.228
Phocus-10,Thick Ap,10.221.32.10
Phocus-11,Thick Ap,10.221.32.11
Phocus-20,Thick Ap,10.221.32.20
Phocus-21,Thick Ap,10.221.32.21
Phocus-30,Thick Ap,10.221.32.30
Phocus-31,Thick Ap,10.221.32.31
A-NCTP1201-01,Thick Ap,10.24.32.20
A-NCTP1401-01,Thick Ap,10.24.32.21
A-NCTP1701-01,Thick Ap,10.24.32.22
A-NCTP101-101,Thick Ap,10.24.32.101
A-NCTP102-102,Thick Ap,10.24.32.102
A-NCTP103-103,Thick Ap,10.24.32.103
A-NCTP104-104,Thick Ap,10.24.32.104
A-WWTP2001-01,Thick Ap,10.25.32.101
A-WWTP2201-01,Thick Ap,10.25.32.102
A-WWTP2401-01,Thick Ap,10.25.32.103
A-WWTP2701-01,Thick Ap,10.25.32.104
A-WWTP3001-01,Thick Ap,10.25.32.105
U-CST103-01,UPS,10.3.1.1
U-NCT511-01,UPS,10.4.1.5
U-WWT401-01,UPS,10.5.1.5
U-WWT441-01,UPS,10.5.1.6
U-WWT455-01,UPS,10.5.1.7
U-WWT451-GPC-01,UPS,10.5.1.8
U-WWT451-GPC-02,UPS,10.5.1.9
U-WWT406-PR-01,UPS,10.5.1.14
U-WWT-MAIN_GATE-01,UPS,10.5.1.15
U-WWT442-01,UPS,10.5.1.16
U-WWT401-SECURITY-01,UPS,10.5.1.17
U-HQ2-01,UPS,10.9.1.2
U-NCT5102-DC-01,UPS,10.111.1.1
U-NCT5102-DC-02,UPS,10.111.1.2
U-SCIP802-OPS-01,UPS,10.201.1.10
